Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Column_Water,biofMP,mp1,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.4025155484423012e-07,0.0,0.0,0.0,0.0,7.420690928938832e-09,0.0,1.057716504854369e-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp2,3.2090147248145615e-10,"[2.378234398782344e-10, 0.0, 0.0, 0.0, 0.0]",3.2153366055755757e-07,0.0,0.0,0.0,0.0,1.45444347717238e-08,0.0,1.057716504854369e-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp3,3.2090147248145615e-10,"[9.417808219178083e-10, 9.512937595129375e-12, 0.0, 0.0, 0.0]",4.205131315977745e-05,0.0,0.0,0.0,0.0,9.193975601984617e-08,0.0,1.057716504854369e-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp4,3.2090147248145615e-10,"[8.07791095890411e-09, 0.0, 8.08599695585997e-12, 0.0, 0.0]",0.006619100804091459,0.0,0.0,0.0,0.0,0.0,1.8491508690052147e-07,1.057716504854369e-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,biofMP,mp5,3.2090147248145615e-10,"[7.942508561643837e-08, 0.0, 0.0, 7.94330289193303e-12, 0.0]",300.4716242733478,0.0,0.0,0.0,0.0,0.0,0.00011152713563171421,1.057716504854369e-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp1,8.022536812036404e-11,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.731909238061159e-16,0.0,0.0,0.0,1.3253912815237522e-08,0.0,1.057716504854369e-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp2,8.022536812036404e-11,"[2.4734634501663645e-12, 0.0, 0.0, 0.0, 0.0]",0.0,5.883433610749536e-16,0.0,0.0,0.0,1.888405081575845e-08,0.0,1.057716504854369e-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp3,8.022536812036404e-11,"[9.42393561727571e-12, 9.51912688613708e-14, 0.0, 0.0, 0.0]",0.0,4.269167204210395e-14,0.0,0.0,0.0,9.3153091300684e-08,0.0,1.057716504854369e-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp4,8.022536812036404e-11,"[8.077919522390437e-11, 0.0, 8.086005527918356e-14, 0.0, 0.0]",0.0,6.6148287772519e-12,0.0,0.0,0.0,0.0,1.8476501545440496e-07,1.057716504854369e-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Column_Water,heterBiofMP,mp5,8.022536812036404e-11,"[7.942508570525761e-10, 0.0, 0.0, 7.943302900815842e-14, 0.0]",0.0,3.004715836404362e-07,0.0,0.0,0.0,0.0,0.0001115271202502011,1.057716504854369e-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,freeMP,mp1,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",3.858309247202086e-07,0.0,1.1574074074074074e-06,0.0,3.3295583238958095e-07,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",1.1191246413029224e-06,0.0,1.1574074074074074e-06,0.0,3.3295583238958095e-07,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,freeMP,mp3,1.6045073624072808e-09,"[1.5696347031963472e-08, 1.5854895991882296e-10, 0.0, 0.0, 0.0]",7.782991085780649e-05,0.0,1.1574074074074074e-06,0.0,3.3295583238958095e-07,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,freeMP,mp4,1.6045073624072808e-09,"[1.5839041095890412e-07, 0.0, 1.5854895991882296e-10, 0.0, 0.0]",0.15267886070452985,0.0,1.1574074074074074e-06,0.0,3.3295583238958095e-07,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,freeMP,mp5,1.6045073624072808e-09,"[1.5853310502283108e-06, 0.0, 0.0, 1.5854895991882296e-10, 0.0]",1174.101235601585,0.0,1.1574074074074074e-06,0.0,3.3295583238958095e-07,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,heterMP,mp1,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,8.93151244753955e-16,1.1574074074074074e-06,0.0,3.3295583238958095e-07,0.0003057135438595072,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,heterMP,mp2,1.6045073624072808e-10,"[2.5931208065295157e-11, 0.0, 0.0, 0.0, 0.0]",0.0,1.1036012415408946e-15,1.1574074074074074e-06,0.0,3.3295583238958095e-07,0.00027817426046282536,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,heterMP,mp3,1.6045073624072808e-10,"[1.571398559384979e-10, 1.5872712721060394e-12, 0.0, 0.0, 0.0]",0.0,7.612579062945901e-14,1.1574074074074074e-06,0.0,3.3295583238958095e-07,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,heterMP,mp4,1.6045073624072808e-10,"[1.5839058914791603e-09, 0.0, 1.5854913828620225e-12, 0.0, 0.0]",0.0,1.526644061591379e-10,1.1574074074074074e-06,0.0,3.3295583238958095e-07,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,heterMP,mp5,1.6045073624072808e-10,"[1.5853310520118086e-08, 0.0, 0.0, 1.5854896009719056e-12, 0.0]",0.0,1.1741010938832391e-06,1.1574074074074074e-06,0.0,3.3295583238958095e-07,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,biofMP,mp1,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",3.7539598798705858e-06,0.0,0.0,0.0,3.3295583238958095e-07,0.00022262072786816494,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,biofMP,mp2,3.2090147248145615e-10,"[2.3782343987823448e-09, 0.0, 0.0, 0.0, 0.0]",7.665186787889183e-06,0.0,0.0,0.0,3.3295583238958095e-07,0.00043633304315171393,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,biofMP,mp3,3.2090147248145615e-10,"[9.417808219178084e-09, 9.512937595129377e-11, 0.0, 0.0, 0.0]",0.00044054937354607167,0.0,0.0,0.0,3.3295583238958095e-07,0.0027581926805953848,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,biofMP,mp4,3.2090147248145615e-10,"[8.077910958904112e-08, 0.0, 8.085996955859971e-11, 0.0, 0.0]",0.1122113329408613,0.0,0.0,0.0,3.3295583238958095e-07,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,biofMP,mp5,3.2090147248145615e-10,"[7.942508561643837e-07, 0.0, 0.0, 7.943302891933031e-11, 0.0]",2163.3452888646884,0.0,0.0,0.0,3.3295583238958095e-07,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coast_Surface_Water,heterBiofMP,mp1,8.022536812036404e-11,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,4.548401631622796e-15,0.0,0.0,3.3295583238958095e-07,0.00039761738445712565,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
